"External ID","Issue Type","Parent External ID","Epic Name","Summary","Description","Business Value","Acceptance Criteria","Priority","Phase","Suggested Sprint","Component/s","Labels","Story Points","Dependencies","API Endpoints","Code References","Technical Notes / Risks","Definition of Done","Out of Scope"
"MOB-E01","Epic","","Mobile Enablement and API Readiness","Mobile Enablement and API Readiness","Prepare the existing Next.js and Prisma backend for a secure, versioned, reliable React Native client. The current web app exposes roughly 80 API route files, uses bearer session tokens, returns several unpaginated collections, and has mobile-critical media workflows.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","Highest","Foundation","Sprint 0-1","Backend API,Security,Architecture","mobile,backend,api,security,foundation","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-001","Task","MOB-E01","","Confirm mobile personas, MVP scope, supported devices, and success metrics","Run a product workshop to confirm whether the first release is an internal operations app. Proposed MVP personas are installer/field employee, manager, admin, and master admin. Proposed MVP focuses on authentication, assigned lots, project/lot/stage visibility, field photos, maintenance checklists, calendar, search, and dashboard; procurement and administration are phased later.","Prevents an expensive one-for-one desktop port and keeps the first release focused on field and operational value.","Named personas and top jobs-to-be-done are approved.
MVP, Phase 2, and excluded capabilities are documented.
Supported iOS/Android minimums and tablet expectations are agreed.
Success metrics include activation, weekly active users, upload success rate, crash-free sessions, and task completion time.
Decision on public portfolio/customer-facing functionality is recorded.","Highest","Foundation","Sprint 0","Product,Mobile App","mobile,discovery,mvp","3","","","src/app/admin/**; src/app/(public pages)/**; PROJECT_REPORT.md","Working assumption for the rest of this backlog: internal business app; public marketing portfolio remains in Next.js.","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.","UI implementation."
"MOB-002","Spike","MOB-E01","","Publish an authenticated API inventory and OpenAPI contract","Document every mobile-consumed endpoint, request/response schema, authorization rule, enum, error code, multipart field, and date format. Generate an OpenAPI document and typed client artifacts for the React Native codebase.","Reduces integration defects and makes backend/mobile work parallelizable.","OpenAPI contract covers all MVP endpoints.
Examples include success, validation, unauthorized, forbidden, not-found, conflict, and rate-limit responses.
Multipart upload and byte-range media responses are documented.
Enums match Prisma values exactly.
Contract validation runs in CI and generated TypeScript types compile.","Highest","Foundation","Sprint 0","Backend API,Architecture","mobile,api,openapi,contract","8","MOB-001","/api/v1/signin; /api/v1/signout; /api/v1/module_access/*; all MVP resource routes","src/app/api/v1/**/route.js; prisma/schema.prisma","Current API responses generally use {status,message,data}, but shapes and logging warnings vary.","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-003","Story","MOB-E01","","Introduce versioned mobile API routes and a consistent response envelope","Expose mobile contracts under a stable version prefix and standardize success, validation, pagination, and error payloads without breaking the existing web client.","Allows the mobile app to evolve safely while the desktop app remains operational.","Mobile endpoints are available under an agreed version such as /api.
Success responses use a documented data/meta envelope.
Errors include stable machine code, user-safe message, field errors where applicable, and correlation ID.
Existing web endpoints continue to work or have a documented migration path.
Contract tests cover representative endpoints.","Highest","Foundation","Sprint 1","Backend API,Architecture","mobile,api,versioning,error-handling","8","MOB-002","","src/app/api/v1/**/route.js","Avoid a flag-day migration of the existing Next.js frontend.","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-004","Story","MOB-E01","","Consolidate and harden bearer-session validation","Replace split session-validation behavior with one server-side guard that verifies token existence, expiry, active/verified user state, and current user type in a single lookup. Define revocation and device-session behavior for mobile.","Protects company and employee data and gives mobile a predictable authentication lifecycle.","One shared authentication guard is used by every protected mobile endpoint.
Expired, revoked, inactive, and unverified sessions return 401 with stable error codes.
Session lookup returns current user state rather than trusting stale session user_type.
Sign-out revokes the active token.
Tests cover valid, expired, missing, inactive-user, and revoked sessions.
Session lifetime and optional per-device session policy are documented.","Highest","Foundation","Sprint 1","Backend API,Security","mobile,authentication,session,security","8","MOB-002","/api/v1/signin; /api/v1/signout; all protected routes","src/lib/session.js; src/lib/auth-middleware.js; src/lib/validators/authFromToken.js; src/app/api/v1/signin/route.js; src/app/api/v1/signout/route.js","validateAdminAuth currently accepts admin, master-admin, manager, and employee; getUserFromToken does not itself validate expiry or active user state.","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-005","Story","MOB-E01","","Enforce module-level permissions on the server","Map mobile operations to module_access permissions and enforce them in API middleware. Master-admin may bypass module checks; all other roles must satisfy the required permission for both reads and mutations.","Prevents a user from bypassing UI restrictions by calling APIs directly.","A permission matrix maps each mobile route/action to a module_access field.
Unauthorized module access returns 403, distinct from unauthenticated 401.
MASTER/master-admin bypass behavior is explicit and tested.
Read, create, update, delete, upload, and administrative operations are covered.
Permission changes take effect without app reinstall and are reflected after refresh.","Highest","Foundation","Sprint 1","Backend API,Security,Access Control","mobile,rbac,permissions,security","13","MOB-004","/api/v1/module_access/[id]; all protected resource routes","src/components/ProtectedRoute.jsx; prisma/schema.prisma:model module_access; src/app/api/v1/module_access/**","Current granular checks are concentrated in the client-side AdminRoute site map.","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-006","Story","MOB-E01","","Add pagination, server-side search, sorting, and filters to mobile collection APIs","Replace full-table list responses used by mobile with cursor or page pagination and resource-specific filters. Prioritize clients, projects, lots, employees, items, MTOs, purchase orders, statements, meetings, logs, and global search.","Keeps mobile screens fast and data usage reasonable as business data grows.","Every mobile collection has bounded page size and deterministic sorting.
Responses include next cursor/page metadata and total count only where efficient.
Search and filters are validated and indexed where necessary.
Deleted records are excluded by default.
Performance tests use production-scale representative data.
Existing web consumers remain compatible.","Highest","Foundation","Sprint 1-2","Backend API,Database,Performance","mobile,pagination,search,performance","13","MOB-003","/api/v1/client/all; /api/v1/project/all; /api/v1/lot/active; /api/v1/employee/all; /api/v1/item/all/[category]; /api/v1/materials_to_order/all; /api/v1/purchase_order/all; /api/v1/meeting/all; /api/v1/logs; /api/v1/search","src/app/api/v1/**/route.js; prisma/schema.prisma","Most current list routes call Prisma findMany without skip/take or cursor.","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-007","Story","MOB-E01","","Secure and optimize mobile media upload and delivery","Require authorization for protected media reads, define access checks by lot/project, validate upload sizes and MIME types, support thumbnails, byte ranges, safe filenames, and resumable/retry-friendly behavior.","Protects site imagery and makes photo/video usage practical on mobile networks.","Protected media cannot be fetched without a valid authorized session.
Authorization verifies access to the related lot/project.
Upload limits, allowed MIME types, malware scanning behavior, and rejection errors are documented.
Images have thumbnail/preview variants and videos support byte ranges.
Uploads are idempotent or deduplicated using a client upload ID/checksum.
Deleted media remains inaccessible.
Logging records uploader and result.","Highest","Foundation","Sprint 1-2","Backend API,Media,Security","mobile,media,upload,security,performance","13","MOB-004,MOB-005","/api/v1/uploads/lots/[...path]; /api/v1/lot_file/[id]; /api/v1/maintenance_checklist/upsert","src/app/api/v1/uploads/lots/[...path]/route.js; src/lib/fileHandler.js; src/app/admin/site_photos/page.jsx","Current lot-media GET supports range responses and public immutable caching but does not authenticate before serving an existing non-deleted file.","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-008","Story","MOB-E01","","Define mobile environment, networking, timezone, and idempotency rules","Define development/staging/production base URLs, TLS requirements, device connectivity behavior, Australia/Adelaide date handling, mutation idempotency, optimistic-concurrency behavior, and correlation IDs.","Prevents duplicate mutations, timezone drift, and environment-specific failures.","No production secret is exposed through NEXT_PUBLIC or bundled mobile configuration.
All production traffic requires HTTPS.
Dates are transmitted in ISO 8601 with timezone rules documented.
Critical mutations accept an idempotency key and safely replay.
Conflicting updates return 409 with current version data or a documented resolution path.
Every request/response can be traced with a correlation ID.
Staging works from physical iOS and Android devices.","High","Foundation","Sprint 1","Backend API,DevOps,Security","mobile,environment,timezone,idempotency,observability","8","MOB-003,MOB-004","","src/lib/baseUrl.js; src/app/api/v1/dashboard/route.js; src/lib/notification.js","The backend already contains Adelaide-specific dashboard date conversion; notification code reads a WhatsApp token from a NEXT_PUBLIC-named variable and should be reviewed.","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-E02","Epic","","React Native Application Foundation","React Native Application Foundation","Create a production-ready React Native application foundation. Recommended baseline for a new app is Expo with TypeScript and Expo Router, subject to a short architecture decision. Use a typed API client, TanStack Query for server state, secure credential storage, and a reusable accessible design system.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","Highest","Foundation","Sprint 0-2","Mobile App,Architecture,DevOps","mobile,react-native,expo,foundation","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
